train_inter,train_intra,train_potential,train_charges,weight_inter,weight_intra,weight_potential,weight_charges
0.0,1.0,0.0,0.0,0.0,0.0006030817834567939,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0005436717389232362,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.001121458467281953,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0009408528643724636,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0014853403073268167,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.001023393948586534,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0013058302741689066,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0012281383892021997,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0007293593757766684,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0008661916514726895,0.0,0.0
1.0,0.0,0.0,0.0,21.554809676482357,0.0,0.0,0.0
1.0,0.0,0.0,0.0,19.943652852121936,0.0,0.0,0.0
1.0,0.0,0.0,0.0,13.001482372404684,0.0,0.0,0.0
1.0,0.0,0.0,0.0,24.287795005102502,0.0,0.0,0.0
1.0,0.0,0.0,0.0,16.027872575416403,0.0,0.0,0.0
1.0,0.0,0.0,0.0,26.45931205999771,0.0,0.0,0.0
1.0,0.0,0.0,0.0,14.263644435573042,0.0,0.0,0.0
1.0,0.0,0.0,0.0,11.355317347225714,0.0,0.0,0.0
1.0,0.0,0.0,0.0,28.24366500925706,0.0,0.0,0.0
1.0,0.0,0.0,0.0,23.012659863241268,0.0,0.0,0.0
1.0,1.0,0.0,0.0,23.608783655894154,0.0014800884176085097,0.0,0.0
1.0,1.0,0.0,0.0,27.06544455213148,0.0005593682004466354,0.0,0.0
1.0,1.0,0.0,0.0,11.265835258535242,0.0010782624104629548,0.0,0.0
1.0,1.0,0.0,0.0,16.576311228364922,0.0012795114838983087,0.0,0.0
1.0,1.0,0.0,0.0,21.469786324620582,0.000994602706281733,0.0,0.0
1.0,1.0,0.0,0.0,28.404809186251438,0.0008253383353839187,0.0,0.0
1.0,1.0,0.0,0.0,19.389596257636995,0.0006590075895358309,0.0,0.0
1.0,1.0,0.0,0.0,25.721438136651788,0.0011095049197564402,0.0,0.0
1.0,1.0,0.0,0.0,12.264205674603087,0.001361616570002412,0.0,0.0
1.0,1.0,0.0,0.0,15.22875948108384,0.0007171291304092789,0.0,0.0
