#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,-389715.2808830408,301.830890611164
10000,-390675.7246875389,301.08060863723983
15000,-390691.52942190703,306.33926716848293
20000,-391635.2825920234,292.4170846604378
25000,-391762.30612681096,293.8242865966321
30000,-392041.4376354413,296.9067179545539
35000,-392455.4718847866,294.4038681433221
40000,-392521.77256675623,291.14674645269986
45000,-392399.1139810571,296.1353429123991
50000,-392669.31188131636,286.815913064594
55000,-392739.28185568086,290.5792612201939
60000,-392831.6962685314,300.5082834639191
65000,-392741.60525004164,292.54659907437104
70000,-392857.4491758238,295.5459036621318
75000,-393214.61583689053,299.348518415551
80000,-392959.3827805958,304.8313919402546
85000,-392753.782878655,294.9828758637891
90000,-393039.1431837921,295.61779914700725
95000,-392923.98793222284,300.7013083132464
100000,-392949.2015649276,296.4755870868446
105000,-393116.0948272527,289.26362807138287
110000,-393190.02162885375,289.94929917899213
115000,-392963.75071831176,307.36640915273915
120000,-393135.3020852455,300.4804458945787
125000,-393346.1492458512,300.8498407821845
130000,-393145.15354274435,298.2290241175458
135000,-393131.5721708799,283.2606778383611
140000,-393100.84147274424,298.998876950026
145000,-393165.3141261303,297.5063535086462
150000,-393147.9534974091,300.56817750827463
155000,-393044.4586487689,295.70170544965487
160000,-393032.6661185446,297.05177698480884
165000,-393225.4928522778,295.90218696812576
170000,-393105.5210417469,299.1386341133625
175000,-392911.73534800403,293.1741299939782
180000,-393239.30176042404,298.2892888927133
185000,-392990.6313491602,291.58743077951056
190000,-392882.1897167115,303.2323865401473
195000,-393340.589566857,288.32400131801006
200000,-393383.3354857478,300.94373644918204
205000,-393642.7791667194,288.23982716692257
210000,-393481.02048370475,295.76853075401993
215000,-393298.4957182718,294.179066816264
220000,-393700.4800583768,298.8565187440316
225000,-393383.10160817637,300.57351670494074
230000,-393476.5257186624,287.77570297194967
235000,-393617.60448883276,297.41439228538286
240000,-393434.77909862343,301.28609917661703
245000,-393628.3669888886,300.8195286045764
250000,-393407.90245407453,302.06826398358317
255000,-393605.4930924126,295.4824306069583
260000,-393639.69475197344,296.75020094855813
265000,-393507.3449074947,292.24088336764095
270000,-393542.58371655224,289.8883536418638
275000,-393501.30523485737,293.4854682338993
280000,-393440.82724923745,308.2233769249964
285000,-393553.83200325293,301.82192035391535
290000,-393540.4370629677,298.43773350172177
295000,-393503.3381354939,299.6666807525025
300000,-393321.383868215,303.43574244313356
305000,-393554.20681986434,294.0862865231637
310000,-393469.4507576708,299.5280950312581
315000,-393388.1150728351,297.25378474966055
320000,-393634.20135510387,301.8739062278785
325000,-393594.53231349133,307.69810145496984
330000,-393257.77198167803,287.2777761093635
335000,-393548.41981821845,293.1180728145675
340000,-393451.79160629224,293.34333550524707
345000,-393701.2101568278,299.0242978033266
350000,-393121.4092904021,299.7416623169627
355000,-393359.3627005232,296.28869259934356
360000,-393370.14433226734,299.19364736683343
365000,-393476.6042492811,296.07930655173163
370000,-393351.4408842194,293.59024837216833
375000,-393484.18568030046,285.9290602971374
380000,-393486.7140893487,296.4871731993165
385000,-393455.70581519825,299.3183626399832
390000,-393319.2113030605,301.8588753326717
395000,-393630.96409180074,295.7308128815589
400000,-393690.6907962352,295.0019512589654
405000,-393469.79999388725,302.9244011091176
410000,-393434.7522373433,300.739882616848
415000,-393326.6877062968,295.9510375116264
420000,-393520.6955202763,305.50920884983555
425000,-393478.1426786344,301.5537581809149
430000,-393588.72668878594,304.5924959119525
435000,-393721.1247425452,292.17338282497224
440000,-393741.57642046735,280.40603997569764
445000,-393343.7870020855,301.09563315447525
450000,-393553.0758208141,298.2539178996992
455000,-393693.13265209034,300.06242969253543
460000,-393821.1846787967,292.1842988237978
465000,-393486.09568585025,302.5639566196
470000,-393600.60441317165,295.798646573052
475000,-393492.52499775024,294.95617230754374
480000,-393718.92177373735,300.1580896872734
485000,-393499.3315544209,295.1390699114581
490000,-393584.68757498055,292.0007571994089
495000,-393712.0244365327,301.7704902200914
500000,-393097.2286775005,301.4534916221406
505000,-393475.82912085793,286.4750697719265
510000,-393565.04112636717,296.3006167084821
515000,-393698.1751501743,299.0200818659277
520000,-393509.2831986777,290.3998566841203
525000,-393454.7697055694,300.1422669131109
530000,-393465.0623776336,294.7243843239622
535000,-393580.6196315997,303.08860037237037
540000,-393432.63796979445,294.79301475046225
545000,-393536.23218211974,306.17831708739214
550000,-393597.899665743,293.4034785127974
555000,-393906.52498596243,288.7909250150848
560000,-393539.3707963743,297.51850207566
565000,-393629.53090250364,290.6789989824274
570000,-393672.2534864504,301.7549823358519
575000,-393689.7345689044,294.2590891209528
580000,-393386.2208693558,304.1791964205493
585000,-393549.7813418989,295.71961693954694
590000,-393584.720037602,297.12987516083996
595000,-393883.4365035956,295.5841128392861
600000,-393495.3566417801,303.733047609273
605000,-393405.3016722575,301.93090490685216
610000,-393608.2232859797,288.1720573484657
615000,-393199.34382048284,292.2572979606037
620000,-393460.2561451016,292.03144208919105
625000,-393442.7925329356,291.8001178787742
630000,-393793.9289858282,292.81692818442417
635000,-393398.83720152266,311.0914399630705
640000,-393324.2813472169,293.75604558488476
645000,-393542.5003313592,304.0465087345887
650000,-393431.47107308527,279.5490928629151
655000,-393662.87692875747,296.078856223334
660000,-393737.9238377903,292.4418921975012
665000,-393671.9912444447,296.4389349815246
670000,-393497.4692986952,296.0329189626729
675000,-393599.8178861006,298.6602826423888
680000,-393415.23612985003,295.31567697886277
685000,-393346.6316805993,292.4270251124889
690000,-393458.94373839645,297.4241322971398
