#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,-390643.1831367147,289.57180783929493
10000,-391132.3953223914,291.1904463361105
15000,-391727.33759731887,266.19528995062797
20000,-391836.76164492045,289.7862009493809
25000,-391868.18820274784,280.1330839650524
30000,-391838.63106665626,285.38747431301744
35000,-391847.0673449221,292.7447743977629
40000,-392053.73209079343,286.19480369181395
45000,-391975.59069884557,283.5069481725399
50000,-391956.06858033943,282.8077038297167
55000,-391795.89737217873,288.58926074244215
60000,-392113.3703071646,275.4789335777542
65000,-392022.59494661994,292.7520629626983
70000,-391873.14954639063,281.3392203425976
75000,-391922.7726922219,292.0389720083
80000,-392128.98502381437,284.33109757447676
85000,-392143.63605660596,282.6722033689033
90000,-392587.1823892832,288.35359541145976
95000,-392896.182841263,279.86450944274276
100000,-392798.16635739966,286.581333009188
105000,-393128.56367381,286.4662514786705
110000,-393236.10067618726,290.78254428983786
115000,-393406.54903368803,288.3490228967088
120000,-393441.6069432285,289.0812232375767
125000,-393405.445713169,285.5520888975941
130000,-393297.70621353685,289.6987117740823
135000,-393547.1852555272,276.9354373679665
140000,-393528.55033374776,277.74124145261663
145000,-393740.18442349567,281.3631189330099
150000,-393483.7534014033,286.860293004841
155000,-393605.102751091,295.13557240611794
160000,-393839.62322083255,293.6315123682877
165000,-393745.3919332129,286.109419281894
170000,-393857.1460368907,291.93879126123227
175000,-393964.9125551593,284.0208254791036
180000,-393908.104584025,282.1964914847126
185000,-393744.1308525972,288.17609073572976
190000,-393811.96578879765,288.0724823193084
195000,-393750.1696752574,289.7772130790782
200000,-393789.47314365325,286.14537857013886
205000,-393855.7261352753,285.5608642791027
210000,-393878.143048163,293.5176291534711
215000,-394094.86039883527,284.5022084029566
220000,-394136.8878794695,287.6788642270009
225000,-393881.9968133354,287.06796877784853
230000,-394029.44428667496,289.70880675266477
235000,-394098.2173063476,277.3851152048816
240000,-393722.0179891738,286.5017873349709
245000,-393850.2423747063,276.72018222898174
250000,-393997.451919683,280.89876397087244
255000,-393824.6449670574,280.6673982160023
260000,-393927.07443400845,285.761416392824
265000,-393950.27432344714,286.5150411885483
